Product Name,Serial Number
UltraBook X15,SN-1024-AZ
Quantum Monitor 27,SN-1025-BY
ErgoLogic Keyboard,SN-1026-CX
SwiftMouse Wireless,SN-1027-DW
SoundWave ANC Headphones,SN-1028-EV
PixelView Webcam,SN-1029-FU
ThunderBolt Docking Station,SN-1030-GT
Titan SSD 1TB,SN-1031-HS
AeroStream Cooling Pad,SN-1032-IR
VisionPro VR Goggles,SN-1033-JQ
PowerCore 20k Power Bank,SN-1034-KP
SmartSync Fitness Tracker,SN-1035-LO
Lumina Desk Lamp,SN-1036-MN
ClearVoice USB Mic,SN-1037-NM
GigaBit Router AX,SN-1038-OL
SafeGuard External HDD,SN-1039-PK
NovaPad Tablet 10,SN-1040-QJ
EcoPrint Inkjet Printer,SN-1041-RI
HyperLink HDMI Cable,SN-1042-SH
OpticFlow Fiber Adapter,SN-1043-TG
